CPY ID,Time,EUR,Chronology,Day,Start,End,Company,Stage,What,Follow Up_What,Follow up_days,Follow Up_Day,Follow Up_Company,Follow Up_OPID,Follow Up_What Copy,Sort by Date and Time
CPY825845,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3D Currax,,in contact,,,,,,," 43,466.0000   "
CPY8251017,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Deutsches Zentrum für Luft- und Raumfahrt (DLR),,,,,,,,," 43,466.0000   "
CPY825814,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Lilium GmbH,,,,,,,,," 43,466.0000   "
CPY825834,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Avio,,,,,,,,," 43,466.0000   "
CPY825337,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Cubicon Inc.,,,,,,,,," 43,466.0000   "
CPY825152,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Shanghai Union Technology Corporation,,,,,,,,," 43,466.0000   "
CPY8251019,2:00, 220   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,2:00,IAC (International Automotive Corporation),,,,,,,,," 43,466.0000   "
CPY8251020,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Airbus / Global Space Ventures,,,,,,,,," 43,466.0000   "
CPY825448,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Maschinenfabrik Berthold Hermle AG,,,,,,,,," 43,466.0000   "
CPY825609,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,"Ray Co., Ltd.",,,,,,,,," 43,466.0000   "
CPY82585,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Markforged Inc.,,,,,,,,," 43,466.0000   "
CPY8251052,3:00, 329   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,3:00,Fokker / GKN Aerospace,,,,,,,,," 43,466.0000   "
CPY8251022,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,New Balance,,,,,,,,," 43,466.0000   "
CPY825797,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Sculpteo,,,,,,,,," 43,466.0000   "
CPY825782,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Fathom,,,,,,,,," 43,466.0000   "
CPY825793,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Protolabs,,,,,,,,," 43,466.0000   "
CPY825180,1:00, 110   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,1:00,Aceo 3D,,,,,,,,," 43,466.0000   "
CPY8251023,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Adidas,,,,,,,,," 43,466.0000   "
CPY8251024,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Under Armour,,,,,,,,," 43,466.0000   "
CPY825776,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3D Print-Au,,,,,,,,," 43,466.0000   "
CPY825839,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Reebok Future,,,,,,,,," 43,466.0000   "
CPY8251025,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,ASICS,,,,,,,,," 43,466.0000   "
CPY8251026,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Oakley,,,,,,,,," 43,466.0000   "
CPY8251027,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Brooks Running,,,,,,,,," 43,466.0000   "
