CPY ID,Time,EUR,Chronology,Day,Start,End,Company,Stage,What,Follow Up_What,Follow up_days,Follow Up_Day,Follow Up_Company,Follow Up_OPID,Follow Up_What Copy,Sort by Date and Time,Column1,Column2,Column3,Column4
CPY825845,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,3D Currax,,in contact,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""in contact"",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,in contact
CPY8251017,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Deutsches Zentrum fŸr Luft- und Raumfahrt (DLR),,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825814,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Lilium GmbH,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825834,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Avio,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825337,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Cubicon Inc.,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825152,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Shanghai Union Technology Corporation,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY8251019,2:00, 220   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,2:00,IAC (International Automotive Corporation),,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T02:00:00.000Z,.
CPY8251020,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Airbus / Global Space Ventures,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825448,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,Maschinenfabrik Berthold Hermle AG,,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
CPY825609,0:15, 27   ," 43,466.0000   ",Tuesday 01/01/19 ,0:00,0:15,"Ray Co., Ltd.",,,,,,,,," 43,466.0000   ","[{""type"":""p"",""__source"":{""fileName"":"""",""lineNumber"":39,""columnNumber"":9},""children"":[{""text"":""."",""__source"":{""fileName"":"""",""lineNumber"":40,""columnNumber"":13}}]}]",2019-01-01T00:00:00.000Z,2019-01-01T00:15:00.000Z,.
