Number,OPID,CPY ID,Company,Opportunity,Creation Date,Project,Owner,Lead,Active / Paused / Closed,Progress,Reason,Closing,Value,Revenue Type,TCV,Notes,Pain,Economic Buyer,Champion,Decision Criteria,Decision Process,Drive,Closing Probability,Average of Time invested,Last Task,Active Follow Up Task?,CF * Probability,Scenarios,Month,Data Origin,Data Cluster,Time Spend on OPID,Value / h,Earlist OPID Closing Date,Exclude before 2020,Exclude before 20202,Quarter,Cashflow Plan per Quarter,Cashflow Plan per Quarter by Owner,Number of Opportunities per Quarter per Owner,Cashflow Plan by Owner,OPID Stage,Reporting Cluster,Revenue Type Name,TCV (Actual),TCV (Forecast) Type,Data Origin2,Remove (-1),Creation Date_Year-Week,RevenueCurrency,RevenueCurrencySymbol,unknownProduct
1,OPID1,CPY825845,3D Currax,Hyperganic Print,,Hyperganic Print,Markus Finke,,Closed,2) First Contact,K) waiting for funding,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
2,OPID2,CPY825775,3D Hubs,"Workflow | Scale, Repair, Custom",,Discovery,Markus Finke,,Paused,3) Project Evaluation,E) no priority,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
3,OPID3,CPY825193,3D MicroPrint GmbH,Hyperganic Print,,Hyperganic Print,Markus Finke,,Closed,2) First Contact,A) no strategic match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
4,OPID4,CPY825776,3D Print-Au,Workflow | Print Ready API,,Discovery,Markus Finke,,Closed,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
5,OPID5,CPY825196,3D-LABS GmbH,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,6) Negotiation,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,6,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
6,OPID6,CPY825847,3F Studio,Workflow | Facade,,Discovery,Markus Finke,,Closed,3) Project Evaluation,A) no strategic match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
7,OPID7,CPY825961,3ntr (Jdeal-Form srl),Hyperganic Print | Extrusion,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
8,OPID8,CPY825211,3T RPD Ltd.,Workflow | Filter,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Discovery
9,OPID9,CPY825170,5AXISWORKS LTD,Hyperganic Print | 5 Axis Printer OS,,Hyperganic Print,Markus Finke,,Closed,1) Prospect,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
10,OPID10,CPY825180,Aceo 3D,Hyperganic Print | DOD,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
14,OPID14,CPY8257,Ackuretta Technologies Pvt. Ltd.,Hyperganic Print | Dental Online & Offline,,Hyperganic Print,Markus Finke,,Active,4) Project Definition,,"Tuesday, 15 March 2022"," 15,000.00 € ", ARR ,,,4,2,3,1,1,2,65%,#REF!,#REF!,," 9,750.00 € ",50%-75%,44621,Forecast,Revenue,#REF!,  ,"Tuesday, 15 March 2022",> 2020,,2022-Q1,"200,000 €","140,000 €",19,"7,368 €",4,1 - Revenue,ARR,15000,,Forecast,Unhide,1900-52,Euros,€,Hyperganic Print
15,OPID15,CPY825218,Aconity3D GmbH,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,4) Project Definition,L) waiting for business case,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
16,OPID16,CPY8251023,Adidas,Workflow | Footwear,,Footwear,Markus Finke,,Paused,2) First Contact,,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Footwear
17,OPID17,CPY82511,Admatec Europe BV,Hyperganic Print,,Hyperganic Print,Markus Finke,,Closed,2) First Contact,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
18,OPID18,CPY8251130,AEDITIVE GmbH,Hyperganic Print | Concrete,,Hyperganic Print,Markus Finke,,Closed,3) Project Evaluation,D) no technical match,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
19,OPID19,CPY825863,Aether Bioprinter,Hyperganic Print,,Hyperganic Print,Markus Finke,,Paused,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,Hyperganic Print
